Date,Open,High,Low,Close,Adj Close,Volume
2018/4/18,102.669998,102.709999,101.199997,101.209999,99.630127,5822100
2018/4/19,101,101.580002,100.220001,100.889999,99.315117,6803400
2018/4/20,101.18,101.400002,99.910004,100.239998,98.675262,6396900
2018/4/23,100.550003,100.720001,99.529999,100.150002,98.58667,5889800
2018/4/24,100.580002,100.849998,98.860001,99.459999,97.90744,6567700
2018/4/25,99.5,101.489998,99.050003,101.150002,99.57106,8977700
2018/4/26,101.230003,101.379997,99.739998,99.839996,98.281509,8038400
2018/4/27,99.779999,99.989998,98.940002,99.230003,97.681038,8038000
2018/4/30,100.410004,101.370003,100.120003,100.330002,98.763863,8558900
2018/5/1,100.18,100.699997,98.93,100.059998,98.498077,6716200
2018/5/2,100.169998,100.720001,99.25,99.620003,98.064949,9286400
2018/5/3,99.110001,99.25,97.68,98.760002,97.218369,10450800
2018/5/4,98.709999,101.349998,98.580002,101.150002,99.57106,9980100
2018/5/7,102.349998,102.68,101.720001,102.480003,100.880302,10181100
2018/5/8,101.199997,102.639999,100.839996,101.790001,100.201065,14229500
2018/5/9,102.25,102.269997,99.300003,99.970001,98.409485,18345700
2018/5/10,100.419998,102.07,100.300003,101.68,100.092789,8927300
2018/5/11,101.889999,102.209999,101.260002,102.07,100.4767,7036000
2018/5/14,102.440002,103.489998,101.980003,102.440002,100.840927,9891900
2018/5/15,102.440002,103.32,102.099998,102.919998,101.313423,5762400
2018/5/16,103.25,105.040001,103.150002,105.040001,103.400345,8111600
2018/5/17,105.230003,105.480003,104.089996,104.339996,102.711266,7320600
2018/5/18,104.339996,104.790001,103.559998,103.93,102.307663,5427300
2018/5/21,104.220001,104.68,103.610001,104.059998,102.435631,5848700
2018/5/22,104.400002,105.489998,103.989998,104.07,102.44548,6971600
2018/5/23,103.199997,103.339996,102.07,102.889999,101.283905,7903600
2018/5/24,102.809998,102.860001,101.209999,102.110001,100.516083,7474100
2018/5/25,102.25,103,101.970001,102.199997,100.604668,6982700
2018/5/29,100.550003,101.650002,99.379997,99.690002,98.13385,11270400
2018/5/30,100.5,100.550003,99.419998,99.980003,98.419327,7216400
2018/5/31,99.760002,100.139999,98.809998,99.470001,97.91729,9620000
2018/6/1,99.690002,100.050003,99.199997,99.360001,97.809006,6847700
2018/6/4,99.760002,100.5,99.699997,100.239998,98.675262,6598000
2018/6/5,100.360001,100.510002,99.779999,99.940002,98.379951,5974400
2018/6/6,100.059998,101.940002,99.760002,101.910004,100.319199,7833000
2018/6/7,101.910004,102.959999,101.809998,102.470001,100.870453,7559200
2018/6/8,102.089996,103.989998,101.830002,103.980003,102.356888,7090300
2018/6/11,103.93,104.790001,103.75,104.349998,102.721107,8175000
2018/6/12,104.730003,105.220001,103.959999,104.330002,102.701424,9215300
2018/6/13,103.199997,107.879997,102.669998,106.309998,104.650513,22009400
2018/6/14,106.449997,109.489998,106.449997,108.75,107.052429,18068700
2018/6/15,108.169998,109.419998,107.849998,108.849998,107.150864,16169200
2018/6/18,107,107.480003,106.5,107.059998,105.388809,9288600
